source_id,title,authors,year,language,document_type,doi,original_url,local_file,validation_status,notes
salazar2020,Dillapiole in Piper holtonii as an Inhibitor of the Symbiotic Fungus Leucoagaricus gongylophorus of Leaf-Cutting Ants,"Salazar, Lina Cristina; Ortiz-Reyes, Adriana; Rosero, Diana Marcela; Lobo-Echeverri, Tatiana",2020,English,Journal article,10.1007/s10886-020-01170-w,https://doi.org/10.1007/s10886-020-01170-w,sources/salazar2020.pdf,Original full text: relevant methods/results checked,"User-supplied original checked, PDF 2–5. Leaf extract IC50/IC95 102/369 ppm; dillapiole 38/122 ppm. Five-week acid-PDA growth assay, five repetitions/treatment; fitted estimates, no confidence intervals supplied."
napal2015,Screening of native plants from central Argentina against the leaf-cutting ant Acromyrmex lundi (Guérin) and its symbiotic fungus,G. D. Napal; L. Buffa; L. Nolli; M. T. Defagó; Graciela Valladares; M. Carpinella; G. Ruiz; S. M. Palacios,2015,English,Journal article,10.1016/J.INDCROP.2015.07.001,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf,Original full text: relevant methods/results checked,"89-species paired extract screen. Tables 1–2 visually checked, PDF pp.3–4. One laboratory colony; morphological fungal identification."
hubbell1983,An antifungal terpenoid defends a neotropical tree (Hymenaea) against attack by fungus-growing ants (Atta),S. Hubbell; D. Wiemer; A. Adejare,1983,English,Journal article,10.1007/BF00376846,https://doi.org/10.1007/BF00376846,sources/hubbell1983.pdf,Original full text: relevant methods/results checked,"PDF 3,5: caryophyllene epoxide caused collapse/browning within 48 h in 8/10 cultures at 100 µg/mL, 10/10 at 3 mg/mL, 5/5 at 30 mg/mL. Damage counts are not percent growth inhibition. Ten healthy controls; recovery attempt unsuccessful but authors leave killing unresolved."
howard1988terpenoids,Toxicity of terpenoid deterrents to the leafcutting ant Atta cephalotes and its mutualistic fungus,J. J. Howard; J. Cazin; D. Wiemer,1988,English,Journal article,10.1007/BF01022531,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,Original full text: relevant methods/results checked,"S2 year 2005 corrected to 1988. PDF 3 plant origins; PDF 5 methods; PDF 7 Table 1: four terpenoids at two concentrations, ordinal growth scores at day 7. Kolavenol deters ants but gives no fungal inhibition. Source spells Vismia as Vismea; original isolation references are separate from this assay."
howard1987,"Leafcutting Ant Diet Selection: The Role of Nutrients, Water, and Secondary Chemistry",J. J. Howard,1987,English,Journal article,10.2307/1938455,https://doi.org/10.2307/1938455,sources/howard1987_supplement.pdf,Original abstract checked; full methods not checked,"Local file is the original 23-page SUPPLEMENT, not the article, recovered from publisher Figshare, DOI 10.6084/m9.figshare.3521624.v1; chemistry and palatability for 50 woody species. Not fully transcribed."
hubbell1984,Chemical Leaf Repellency to an Attine Ant: Seasonal Distribution Among Potential Host Plant Species,S. Hubbell; J. J. Howard; D. Wiemer,1984,English,Journal article,10.2307/1938314,https://scholarworks.uno.edu/biosciences_facpubs/16/,,Original abstract checked; full methods not checked,42-species chemical repellency screen; direct PDF returned 403. Do not label every repellent plant antifungal.
howard1988choice,Leafcutting and Diet Selection: Relative Influence of Leaf Chemistry and Physical Features,J. J. Howard,1988,English,Journal article,10.2307/1943180,https://doi.org/10.2307/1943180,,Original abstract checked; full methods not checked,Indexed title contains a transcription error; correct title: Leafcutting Ant Diet Selection: Relative Influence of Leaf Chemistry and Physical Features.
wirth2003,Host Plant Selection,R. Wirth; H. Herz; R. Ryel; W. Beyschlag; B. Hölldobler,2003,English,Journal article,10.1007/978-3-662-05259-4_10,https://doi.org/10.1007/978-3-662-05259-4_10,,Discovery lead: original results require validation,Book chapter; local notes contain an 85-taxon Table 11/Table 15 comparison for one BCI colony. Original book tables not independently rechecked here.
rockwood1976,Plant Selection and Foraging Patterns in Two Species of Leaf‐Cutting Ants (Atta),L. Rockwood,1976,English,Journal article,10.2307/1936397,https://doi.org/10.2307/1936397,,Original abstract checked; full methods not checked,
lapointe1996,Resistance to Leafcutter Ants (Hymenoptera: Formicidae) and Inhibition of Their Fungal Symbiont by Tropical Forage Grasses,S. Lapointe; M. S. Serrano; I. Corrales,1996,English,Journal article,10.1093/JEE/89.3.757,https://doi.org/10.1093/JEE/89.3.757,sources/lapointe1996.pdf,Original full text: relevant methods/results checked,"PDF 3,5–7 checked: clarified leaf homogenates from 500 g leaves+500 mL water;100/50/1% dilutions, not recovered-extract concentrations. Two-isolate comparison (one per ant species), then five-cultivar comparison in A.landolti. Three plates/condition. No active molecule identified; raw curves not digitized."
castellani2009,Growth of the Symbiotic Fungus of the Grass-cutting Ant Atta capiguara (Hymenoptera: Formicidae): Effect of Grass Extracts,M. Castellani; L. C. Forti; R. C. Fenille; C. G. Raetano; A. Moreira; A. Andrade; R. Camargo; R. Lemos; A. Aguiar; N. S. Nagamoto,2009,English,Journal article,,https://repositorio.unesp.br/entities/publication/387fbb1f-2733-4333-97cc-11e7605012f9,,Original abstract checked; full methods not checked,University abstract read. Brachiaria brizantha detrimental; three other grasses neutral; sugarcane outcome pH-dependent.
bigi2004,Activity of Ricinus communis (Euphorbiaceae) and ricinine against the leaf-cutting ant Atta sexdens rubropilosa (Hymenoptera: Formicidae) and the symbiotic fungus Leucoagaricus gongylophorus.,M. Bigi; Vera L. V. Torkomian; S. de Groote; M. A. Hebling; O. Bueno; F. C. Pagnocca; J. Fernandes; P. Vieira; M. G. da Silva,2004,English,Journal article,10.1002/PS.892,https://doi.org/10.1002/PS.892,sources/bigi2004.pdf,Original full text: relevant methods/results checked,"PDF 2–4 checked. Tables 1–2 report remaining growth, not inhibition: active fractions leave 20% growth at 0.5–1 mg/mL. MFHE-9 contains fatty acids plus glycosylsteroids; no individual fatty acid proven causal. Ricinine 1 mg/mL is a context-interpreted null in malformed prose, not a quantified table result. Several identified molecules were explicitly not tested."
sesame1990,Toxicity of sesame extracts to the symbiotic fungus of leaf-cutting ants,F. C. Pagnocca; Osvaldo Aulino da Silva; Maria Jose Hebling-Beraldo; O. Bueno; J. Fernandes; P. Vieira,1990,English,Journal article,10.1017/S0007485300050550,https://doi.org/10.1017/S0007485300050550,sources/sesame1990.pdf,Original full text: relevant methods/results checked,"Unknown Title PDF identified as1990 sesame paper. PDF 2 Tables 1–2 doses are DRY-PLANT equivalents, not extract mass. Chloroform/methanol leaves leave 40% growth at 60 mg dry-leaf-equivalent/mL; aqueous extract stimulates growth. Sesamin/sesamine not detected in leaves; active compounds not isolated."
sesame1998,Activity of sesame leaf extracts against the symbiotic fungus of Atta sexdens L,S. B. Ribeiro; F. C. Pagnocca; S. R. Victor; O. Bueno; M. A. Hebling; M. Bacci; O. A. Silva; João Batista Fernandes; P. Vieira; M. F. G. F. Silva,1998,English,Journal article,10.1590/S0301-80591998000300010,https://doi.org/10.1590/S0301-80591998000300010,,Indexed abstract checked; original full text pending,"Fatty-acid mixtures, concentration-dependent inhibition; fractionation reduced activity."
