source_id,material,constituent,source_name_as_printed,reported_percent,causal_fungal_activity_established,source_locator,notes
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Decanoic acid,Decanoic,1.2,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Myristic acid,Myristic,0.5,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Pentadecanoic acid,Pentadecanoic,6.4,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Palmitic acid,Palmitic,81.0,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Heptadecanoic acid,Heptadecanoic,0.3,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Stearic acid,Estearic,6.6,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Eicosanoic acid,Eicosanoic,1.1,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Docosanoic acid,Docosanoic,0.2,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Tricosanoic acid,Tricosanoic,0.7,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
bigi2004,MFHE fatty-acid profile; prose discusses MFHE-9,Tetracosanoic acid,Tetracosanoic,0.2,False,PDF 4 / printed 936; Table 3,"Table heading names MFHE, prose names MFHE-9. Do not assign these percentages to the entire crude extract or assume an individual acid caused inhibition."
