comparison_block,source_id,route,endpoint_family,dose_ug_ml,record_count,compound_count,compounds,record_ids
melo2020|agar_contact|censored_IC50||Seven days; citral recovery: further seven days on untreated PDA.,melo2020,agar_contact,censored_IC50,,5,5,"[""1,8-Cineole"", ""Limonene"", ""Linalool"", ""Sulcatyl acetate"", ""p-Cymene""]","[""F104"", ""F105"", ""F106"", ""F107"", ""F108""]"
melo2020|fumigation|censored_IC50||Seven days; citral recovery: further seven days on untreated PDA.,melo2020,fumigation,censored_IC50,,5,5,"[""1,8-Cineole"", ""Limonene"", ""Linalool"", ""Sulcatyl acetate"", ""p-Cymene""]","[""F094"", ""F095"", ""F096"", ""F097"", ""F098""]"
pagnocca1996|agar_contact|coarse_visual_growth|200|30–35 days at 25±1°C,pagnocca1996,agar_contact,coarse_visual_growth,200,5,5,"[""Epigalgravin"", ""Episesamin"", ""Lignan 5"", ""Lignan 8"", ""Philygenol""]","[""F016"", ""F017"", ""F018"", ""F020"", ""F021""]"
raulinoa2002|agar_contact|coarse_visual_growth|100|Not restated; do not assume the exact duration of the cited protocol.,raulinoa2002,agar_contact,coarse_visual_growth,100,5,5,"[""2-n-Nonyl-4-quinolone"", ""Flindersiamine"", ""Kokusaginine"", ""Maculine"", ""Skimmianine""]","[""M011"", ""M013"", ""M015"", ""M016"", ""M018""]"
raulinoa2002|agar_contact|coarse_visual_growth|50|Not restated; do not assume the exact duration of the cited protocol.,raulinoa2002,agar_contact,coarse_visual_growth,50,4,4,"[""2-n-Nonyl-4-quinolone"", ""Kokusaginine"", ""Maculine"", ""Skimmianine""]","[""M010"", ""M012"", ""M014"", ""M017""]"
"souza2005|agar_contact|coarse_visual_growth|100|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",souza2005,agar_contact,coarse_visual_growth,100,4,4,"[""Germanicol"", ""Stigmast-4-en-3-one"", ""β-Amyrin"", ""β-Sitosterol""]","[""F078"", ""F079"", ""F080"", ""F081""]"
"souza2005|agar_contact|coarse_visual_growth|50|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",souza2005,agar_contact,coarse_visual_growth,50,4,4,"[""Platydesmine"", ""Syringaldehyde"", ""Syringaresinol"", ""Vanillic acid""]","[""F083"", ""F084"", ""F085"", ""F088""]"
coumarins2005|agar_contact|coarse_visual_growth|75|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,75,2,2,"[""7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin"", ""Clausarin""]","[""M004"", ""M008""]"
howard1988terpenoids|agar_contact|ordinal_growth|14.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,14.0,2,2,"[""Caryophyllene"", ""Nerolidol""]","[""F007"", ""F013""]"
howard1988terpenoids|agar_contact|ordinal_growth|140.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,140.0,2,2,"[""Caryophyllene"", ""Nerolidol""]","[""F006"", ""F012""]"
