point_id,series_id,panel,material,x_pixel,y_pixel,pixel_tolerance,dose,unit,inhibition_fraction,provenance,marker_note
melo_a_oil_isopulegol_1,melo_a_oil_isopulegol,a,"Myrcia lundiana oil, isopulegol chemotype",695.43,741.49,3,10.645252405899857,µL treatment/L air,0.06710543130990414,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_isopulegol_2,melo_a_oil_isopulegol,a,"Myrcia lundiana oil, isopulegol chemotype",886.22,428.97,3,106.5039369410984,µL treatment/L air,0.46649201277955266,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_isopulegol_3,melo_a_oil_isopulegol,a,"Myrcia lundiana oil, isopulegol chemotype",919.85,380.5,3,159.8342048243682,µL treatment/L air,0.5284345047923322,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_isopulegol_4,melo_a_oil_isopulegol,a,"Myrcia lundiana oil, isopulegol chemotype",942.4,335.5,5,209.83952138851487,µL treatment/L air,0.5859424920127796,"digitized visible marker, not original raw datum",overlapping circle/square separated visually
melo_a_oil_isopulegol_5,melo_a_oil_isopulegol,a,"Myrcia lundiana oil, isopulegol chemotype",962.22,322.78,3,266.55873743097845,µL treatment/L air,0.6021980830670927,"digitized visible marker, not original raw datum",distinct marker
melo_a_isopulegol_1,melo_a_isopulegol,a,"Isopulegol, assay stereochemistry unresolved",829.0,723.0,3,53.3816353358435,µL treatment/L air,0.09073482428115016,"digitized visible marker, not original raw datum",distinct marker
melo_a_isopulegol_2,melo_a_isopulegol,a,"Isopulegol, assay stereochemistry unresolved",886.5,582.5,3,106.86452304573295,µL treatment/L air,0.2702875399361022,"digitized visible marker, not original raw datum",distinct marker
melo_a_isopulegol_3,melo_a_isopulegol,a,"Isopulegol, assay stereochemistry unresolved",932.0,331.0,5,185.0826298813125,µL treatment/L air,0.5916932907348242,"digitized visible marker, not original raw datum",overlapping circle/square separated visually
melo_a_isopulegol_4,melo_a_isopulegol,a,"Isopulegol, assay stereochemistry unresolved",962.5,139.0,3,267.46121464963466,µL treatment/L air,0.8370607028753994,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_1,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",695.35,667.44,3,10.63497727387823,µL treatment/L air,0.161738019169329,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_2,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",771.24,567.64,3,26.58196953685258,µL treatment/L air,0.2892779552715655,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_3,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",828.79,498.09,3,53.24648660597131,µL treatment/L air,0.37815974440894573,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_4,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",862.5,463.5,3,79.98608066282742,µL treatment/L air,0.42236421725239615,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_5,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",886.17,410.99,3,106.43967471685637,µL treatment/L air,0.4894696485623003,"digitized visible marker, not original raw datum",distinct marker
melo_a_oil_citral_6,melo_a_oil_citral,a,"Myrcia lundiana oil, citral chemotype",962.19,256.65,3,266.462224237754,µL treatment/L air,0.6867092651757188,"digitized visible marker, not original raw datum",distinct marker
melo_a_citral_1,melo_a_citral,a,"Citral, assay isomer composition unspecified",714.0,751.42,3,13.32013170469554,µL treatment/L air,0.054415335463258836,"digitized visible marker, not original raw datum",distinct marker
melo_a_citral_2,melo_a_citral,a,"Citral, assay isomer composition unspecified",771.5,547.5,3,26.665528558149106,µL treatment/L air,0.3150159744408946,"digitized visible marker, not original raw datum",distinct marker
melo_a_citral_3,melo_a_citral,a,"Citral, assay isomer composition unspecified",828.95,98.46,3,53.34942598547695,µL treatment/L air,0.8888690095846645,"digitized visible marker, not original raw datum",distinct marker
melo_a_citral_4,melo_a_citral,a,"Citral, assay isomer composition unspecified",862.5,40.5,3,79.98608066282742,µL treatment/L air,0.9629392971246007,"digitized visible marker, not original raw datum",distinct marker
