source_species,source,pdf_page,nonpolar_extract_deterrence_class,months_observed,mean_harvest_across_reported_months,purpose,source_pdf,notes
Aegiphila martinicensis,howard1987_supplement,3,1,3,0.8866666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Albizzia adinocephala,howard1987_supplement,3,1,3,1.8866666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Ateleia herbert-smithii,howard1987_supplement,3,3,3,3.5533333333333332,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Banisteriopsis muricata,howard1987_supplement,3,3,3,1.4433333333333334,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Bombacopsis quinatum,howard1987_supplement,3,0,3,28.89,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Bursera simaruba,howard1987_supplement,3,0,3,26.22,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Bursera tomentosa,howard1987_supplement,3,3,3,15.666666666666666,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Byrsonima crassifolia,howard1987_supplement,3,2,3,11.0,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=3,
Calycophyllum candidissimum,howard1987_supplement,4,0,3,12.663333333333332,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Cecropia peltata,howard1987_supplement,4,1,3,3.223333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Cedrela odorata,howard1987_supplement,4,1,3,10.556666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Chlorophora tinctoria,howard1987_supplement,4,0,3,15.443333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Chomelia spinosa,howard1987_supplement,4,2,3,5.5566666666666675,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
