source_species,month,disks_harvested_per_hour_mean,disks_harvested_per_hour_sd,ant_colonies_per_reported_mean,nonpolar_extract_deterrence_class,pdf_page,source,fungal_inhibition,notes
Aegiphila martinicensis,6,1.33,2.31,3,1,3,howard1987_supplement,,
Aegiphila martinicensis,7,1.0,1.73,3,1,3,howard1987_supplement,,
Aegiphila martinicensis,8,0.33,0.58,3,1,3,howard1987_supplement,,
Albizzia adinocephala,6,4.33,4.93,3,1,3,howard1987_supplement,,
Albizzia adinocephala,7,1.33,0.58,3,1,3,howard1987_supplement,,
Albizzia adinocephala,8,0.0,0.0,3,1,3,howard1987_supplement,,
Ateleia herbert-smithii,6,3.33,3.06,3,3,3,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Ateleia herbert-smithii,7,1.33,1.53,3,3,3,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Ateleia herbert-smithii,8,6.0,7.21,3,3,3,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Banisteriopsis muricata,6,3.0,4.36,3,3,3,howard1987_supplement,,
Banisteriopsis muricata,7,1.0,1.0,3,3,3,howard1987_supplement,,
Banisteriopsis muricata,8,0.33,0.58,3,3,3,howard1987_supplement,,
Bombacopsis quinatum,6,30.67,11.93,3,0,3,howard1987_supplement,,
Bombacopsis quinatum,7,31.67,14.36,3,0,3,howard1987_supplement,,
Bombacopsis quinatum,8,24.33,24.58,3,0,3,howard1987_supplement,,
Bursera simaruba,6,44.33,12.22,3,0,3,howard1987_supplement,,
Bursera simaruba,7,24.0,19.29,3,0,3,howard1987_supplement,,
Bursera simaruba,8,10.33,11.68,3,0,3,howard1987_supplement,,
Bursera tomentosa,6,30.0,10.15,3,3,3,howard1987_supplement,,
Bursera tomentosa,7,3.0,2.0,3,3,3,howard1987_supplement,,
Bursera tomentosa,8,14.0,16.52,3,3,3,howard1987_supplement,,
Byrsonima crassifolia,6,14.67,21.13,3,2,3,howard1987_supplement,,
Byrsonima crassifolia,7,16.33,5.13,3,2,3,howard1987_supplement,,
Byrsonima crassifolia,8,2.0,2.65,3,2,3,howard1987_supplement,,
Calycophyllum candidissimum,6,19.33,19.21,3,0,4,howard1987_supplement,,
Calycophyllum candidissimum,7,8.33,10.97,3,0,4,howard1987_supplement,,
Calycophyllum candidissimum,8,10.33,10.41,3,0,4,howard1987_supplement,,
Cecropia peltata,6,6.0,2.0,3,1,4,howard1987_supplement,,
Cecropia peltata,7,0.0,0.0,3,1,4,howard1987_supplement,,
Cecropia peltata,8,3.67,3.51,3,1,4,howard1987_supplement,,
Cedrela odorata,6,20.0,15.59,3,1,4,howard1987_supplement,,
Cedrela odorata,7,8.67,11.72,3,1,4,howard1987_supplement,,
Cedrela odorata,8,3.0,3.0,3,1,4,howard1987_supplement,,
Chlorophora tinctoria,6,20.0,20.88,3,0,4,howard1987_supplement,,
Chlorophora tinctoria,7,8.33,5.03,3,0,4,howard1987_supplement,,
Chlorophora tinctoria,8,18.0,26.0,3,0,4,howard1987_supplement,,
Chomelia spinosa,6,6.0,7.94,3,2,4,howard1987_supplement,,
Chomelia spinosa,7,1.0,1.0,3,2,4,howard1987_supplement,,
Chomelia spinosa,8,9.67,9.61,3,2,4,howard1987_supplement,,
Coccoloba venosa,6,2.67,3.79,3,3,4,howard1987_supplement,,
Coccoloba venosa,7,0.33,0.58,3,3,4,howard1987_supplement,,
Coccoloba venosa,8,2.0,1.0,3,3,4,howard1987_supplement,,
Cordia alliodora,6,6.33,10.97,3,2,4,howard1987_supplement,,
Cordia alliodora,7,1.0,1.0,3,2,4,howard1987_supplement,,
Cordia alliodora,8,0.67,0.58,3,2,4,howard1987_supplement,,
Crescentia alata,6,26.0,19.52,3,2,4,howard1987_supplement,,
Crescentia alata,7,15.67,12.01,3,2,4,howard1987_supplement,,
Crescentia alata,8,6.0,10.39,3,2,4,howard1987_supplement,,
Enterolobium cyclocarpum,6,10.67,15.01,3,1,5,howard1987_supplement,,
Enterolobium cyclocarpum,7,0.67,0.58,3,1,5,howard1987_supplement,,
Enterolobium cyclocarpum,8,0.0,0.0,3,1,5,howard1987_supplement,,
Eugenia salamensis,6,15.67,11.37,3,1,5,howard1987_supplement,,
Eugenia salamensis,7,5.33,6.11,3,1,5,howard1987_supplement,,
Eugenia salamensis,8,5.0,6.24,3,1,5,howard1987_supplement,,
Ficus goldmani,6,36.67,4.93,3,0,5,howard1987_supplement,,
Ficus goldmani,7,29.0,17.06,3,0,5,howard1987_supplement,,
Ficus goldmani,8,26.0,23.43,3,0,5,howard1987_supplement,,
Genipa americana,6,7.0,11.27,3,3,5,howard1987_supplement,,
Genipa americana,7,5.33,4.73,3,3,5,howard1987_supplement,,
Genipa americana,8,8.33,8.08,3,3,5,howard1987_supplement,,
Gouania polygama,6,0.33,0.58,3,2,5,howard1987_supplement,,
Gouania polygama,7,1.33,1.53,3,2,5,howard1987_supplement,,
Gouania polygama,8,0.67,1.15,3,2,5,howard1987_supplement,,
Guazuma ulmifolia,6,3.33,4.16,3,2,5,howard1987_supplement,,
Guazuma ulmifolia,7,4.67,3.51,3,2,5,howard1987_supplement,,
Guazuma ulmifolia,8,1.67,2.89,3,2,5,howard1987_supplement,,
Guettarda macrosperma,6,14.33,11.37,3,3,5,howard1987_supplement,,
Guettarda macrosperma,7,1.67,2.89,3,3,5,howard1987_supplement,,
Guettarda macrosperma,8,13.67,14.01,3,3,5,howard1987_supplement,,
Hamelia patens,6,14.33,23.97,3,3,5,howard1987_supplement,,
Hamelia patens,7,3.67,1.53,3,3,5,howard1987_supplement,,
Hamelia patens,8,9.33,7.37,3,3,5,howard1987_supplement,,
Hemiangium excelsum,6,16.0,6.08,3,2,6,howard1987_supplement,,
Hemiangium excelsum,7,2.33,2.08,3,2,6,howard1987_supplement,,
Hemiangium excelsum,8,7.33,7.09,3,2,6,howard1987_supplement,,
Hymenaea courbaril,6,23.33,12.74,3,3,6,howard1987_supplement,,
Hymenaea courbaril,7,1.67,0.58,3,3,6,howard1987_supplement,,
Hymenaea courbaril,8,7.33,12.7,3,3,6,howard1987_supplement,,
Inga vera,6,11.33,1.53,3,1,6,howard1987_supplement,,
Inga vera,7,1.0,1.73,3,1,6,howard1987_supplement,,
Inga vera,8,1.0,1.73,3,1,6,howard1987_supplement,,
Jacquinia pungens,6,5.0,4.58,3,1,6,howard1987_supplement,,June only: source says leaves present only during June
Lasianthea fruticosa,6,11.33,14.47,3,2,6,howard1987_supplement,,
Lasianthea fruticosa,7,2.0,2.65,3,2,6,howard1987_supplement,,
Lasianthea fruticosa,8,4.67,5.03,3,2,6,howard1987_supplement,,
Luehea candida,6,5.67,4.73,3,3,6,howard1987_supplement,,
Luehea candida,7,0.67,1.15,3,3,6,howard1987_supplement,,
Luehea candida,8,5.0,6.92,3,3,6,howard1987_supplement,,
Luehea speciosa,6,19.0,19.0,3,3,6,howard1987_supplement,,
Luehea speciosa,7,7.33,11.02,3,3,6,howard1987_supplement,,
Luehea speciosa,8,2.33,4.04,3,3,6,howard1987_supplement,,
Malvaviscus arboreus,6,3.33,3.51,3,2,6,howard1987_supplement,,
Malvaviscus arboreus,7,1.0,1.73,3,2,6,howard1987_supplement,,
Malvaviscus arboreus,8,0.67,1.15,3,2,6,howard1987_supplement,,
Melochia nodiflora,6,16.33,13.32,3,2,7,howard1987_supplement,,
Melochia nodiflora,7,3.0,3.61,3,2,7,howard1987_supplement,,
Melochia nodiflora,8,0.33,0.58,3,2,7,howard1987_supplement,,
Muntingia calabura,6,11.33,7.64,3,3,7,howard1987_supplement,,
Muntingia calabura,7,1.67,1.53,3,3,7,howard1987_supplement,,
Muntingia calabura,8,1.67,1.53,3,3,7,howard1987_supplement,,
Ocotea veraguensis,6,2.0,3.46,3,3,7,howard1987_supplement,,
Ocotea veraguensis,7,0.33,0.58,3,3,7,howard1987_supplement,,
Ocotea veraguensis,8,1.0,1.73,3,3,7,howard1987_supplement,,
Paullinia cururu,6,6.67,7.02,3,3,7,howard1987_supplement,,
Paullinia cururu,7,0.33,0.58,3,3,7,howard1987_supplement,,
Paullinia cururu,8,1.0,1.0,3,3,7,howard1987_supplement,,
Pisonia macranthocarpa,6,5.0,4.36,3,3,7,howard1987_supplement,,
Pisonia macranthocarpa,7,7.33,11.85,3,3,7,howard1987_supplement,,
Pisonia macranthocarpa,8,1.33,0.58,3,3,7,howard1987_supplement,,
Psidium guajava,6,7.0,9.54,3,3,7,howard1987_supplement,,
Psidium guajava,7,11.33,12.1,3,3,7,howard1987_supplement,,
Psidium guajava,8,1.67,2.89,3,3,7,howard1987_supplement,,
Psychotria nervosa,6,0.0,0.0,3,3,7,howard1987_supplement,,
Psychotria nervosa,7,0.33,0.58,3,3,7,howard1987_supplement,,
Psychotria nervosa,8,0.33,0.58,3,3,7,howard1987_supplement,,
Randia echinocarpa,6,10.67,9.71,3,1,7,howard1987_supplement,,
Randia echinocarpa,7,1.0,1.73,3,1,7,howard1987_supplement,,
Randia echinocarpa,8,4.33,5.86,3,1,7,howard1987_supplement,,
Sapium thelocarpum,6,28.33,20.01,3,0,8,howard1987_supplement,,
Sapium thelocarpum,7,36.67,22.14,3,0,8,howard1987_supplement,,
Sapium thelocarpum,8,11.67,14.57,3,0,8,howard1987_supplement,,
Sapranthus palanga,6,6.33,9.29,3,3,8,howard1987_supplement,,
Sapranthus palanga,7,2.33,1.15,3,3,8,howard1987_supplement,,
