source,figure,pdf_page,material,dose,unit,visible_response_low_pct,visible_response_high_pct,interpretation,fit_decision,source_url
salazar2020,3,5,Piper holtonii ethanol leaf extract,0,"ppm, source mass/medium-volume basis",0,3,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,25,"ppm, source mass/medium-volume basis",22,27,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,50,"ppm, source mass/medium-volume basis",19,25,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,100,"ppm, source mass/medium-volume basis",32,38,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,250,"ppm, source mass/medium-volume basis",100,100,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,500,"ppm, source mass/medium-volume basis",100,100,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Piper holtonii ethanol leaf extract,1000,"ppm, source mass/medium-volume basis",100,100,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,0,"ppm, source mass/medium-volume basis",0,3,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,5,"ppm, source mass/medium-volume basis",0,11,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,10,"ppm, source mass/medium-volume basis",3,16,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,25,"ppm, source mass/medium-volume basis",26,38,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,50,"ppm, source mass/medium-volume basis",53,62,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,100,"ppm, source mass/medium-volume basis",100,100,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
salazar2020,3,5,Dillapiole,200,"ppm, source mass/medium-volume basis",100,100,"rounded visual envelope, not mean, quartile, CI, or full replicate range",hold: overplotting hides replicate multiplicity; no new curve fit,https://doi.org/10.1007/s10886-020-01170-w
