record_id,source_id,material,material_type,source_compound_or_fraction_code,source_plant,source_organ,dose_value,dose_unit_as_reported,dose_ug_ml,endpoint,endpoint_relation,endpoint_value,endpoint_unit,remaining_growth_percent,derived_inhibition_percent,original_ordinal_score,damaged_cultures,tested_cultures,ant,fungus_as_reported,observation_time,model_use,transcription_notes,limitations,source_locator,original_url,local_original,context_key,exposure_route,dose_basis,endpoint_ci_low,endpoint_ci_high,independence_group,extraction_batch,compound_id,preferred_name,identity_status,source_block,compound_source_group,route_for_grouping,endpoint_family,assay_medium,controls_and_replication,donor_replication,dose_ug_ml_for_grouping,comparison_block,conventional_potency_regression_eligible,potency_eligibility_reason,exact_structure_assigned,evidence_direction
F003,salazar2020,Dillapiole,pure_compound,C1,Piper holtonii,Leaves,,,,IC50,=,38,ppm,,,,,,Atta cephalotes,Leucoagaricus gongylophorus,Growth followed for five weeks; dose-response endpoint reported over this assay.,Fitted concentration endpoint; ppm basis must be curated before cross-study potency modelling,Authors’ fitted estimate; no confidence interval supplied. Fig 3 not digitized. IC50/IC95 from the same curve are not independent replicates.,No confidence intervals supplied for fitted IC values. Preserve ppm as reported; do not silently convert to molarity. Extract and pure-compound curves differ.,PDF 4–5 / printed 671–672; Figs 1–3 and results prose,https://doi.org/10.1007/s10886-020-01170-w,sources/salazar2020.pdf,salazar2020,,,,,,1,C001,Dillapiol,achiral_identity_resolved,salazar2020,salazar2020|C001,agar_contact,fitted_IC50,"Acid PDA, pH4.5; cellulose dispersant; dried samples incorporated into cooled agar.",PDA alone and PDA plus cellulose; five repetitions/treatment; no positive control.,Three artificial nests; allocation of donor isolates to assays unclear; no molecular strain ID supplied.,,salazar2020|agar_contact|fitted_IC50||Growth followed for five weeks; dose-response endpoint reported over this assay.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,True,reported_concentration_endpoint
F004,salazar2020,Dillapiole,pure_compound,C1,Piper holtonii,Leaves,,,,IC95,=,122,ppm,,,,,,Atta cephalotes,Leucoagaricus gongylophorus,Growth followed for five weeks; dose-response endpoint reported over this assay.,Fitted concentration endpoint; ppm basis must be curated before cross-study potency modelling,Authors’ fitted estimate; no confidence interval supplied. Fig 3 not digitized. IC50/IC95 from the same curve are not independent replicates.,No confidence intervals supplied for fitted IC values. Preserve ppm as reported; do not silently convert to molarity. Extract and pure-compound curves differ.,PDF 4–5 / printed 671–672; Figs 1–3 and results prose,https://doi.org/10.1007/s10886-020-01170-w,sources/salazar2020.pdf,salazar2020,,,,,,1,C001,Dillapiol,achiral_identity_resolved,salazar2020,salazar2020|C001,agar_contact,secondary_fit_same_curve,"Acid PDA, pH4.5; cellulose dispersant; dried samples incorporated into cooled agar.",PDA alone and PDA plus cellulose; five repetitions/treatment; no positive control.,Three artificial nests; allocation of donor isolates to assays unclear; no molecular strain ID supplied.,,salazar2020|agar_contact|secondary_fit_same_curve||Growth followed for five weeks; dose-response endpoint reported over this assay.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,True,reported_concentration_endpoint
F006,howard1988terpenoids,Caryophyllene,pure_compound,1,Hymenaea courbaril,"Leaves; previously reported origin, assay-batch provenance unresolved",0.14,mg/mL,140.0,remaining_growth,=,50,percent,50,50,2+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C002,Caryophyllene,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C002,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",140.0,howard1988terpenoids|agar_contact|ordinal_growth|140.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
F007,howard1988terpenoids,Caryophyllene,pure_compound,1,Hymenaea courbaril,"Leaves; previously reported origin, assay-batch provenance unresolved",0.014,mg/mL,14.0,remaining_growth,=,75,percent,75,25,1+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C002,Caryophyllene,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C002,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",14.0,howard1988terpenoids|agar_contact|ordinal_growth|14.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
F008,howard1988terpenoids,Caryophyllene epoxide,pure_compound,2,Hymenaea courbaril; Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.1,mg/mL,100.0,remaining_growth,=,0,percent,0,100,4+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C003,Caryophyllene oxide,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C003,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",100.0,howard1988terpenoids|agar_contact|ordinal_growth|100.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
F009,howard1988terpenoids,Caryophyllene epoxide,pure_compound,2,Hymenaea courbaril; Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.01,mg/mL,10.0,remaining_growth,=,75,percent,75,25,1+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C003,Caryophyllene oxide,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C003,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",10.0,howard1988terpenoids|agar_contact|ordinal_growth|10.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
F010,howard1988terpenoids,Kolavenol,pure_compound,3,Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.11,mg/mL,110.0,remaining_growth,=,100,percent,100,0,0,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C004,Kolavenol,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C004,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",110.0,howard1988terpenoids|agar_contact|ordinal_growth|110.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,no_inhibition_at_tested_dose
F011,howard1988terpenoids,Kolavenol,pure_compound,3,Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.011,mg/mL,11.0,remaining_growth,=,100,percent,100,0,0,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C004,Kolavenol,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C004,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",11.0,howard1988terpenoids|agar_contact|ordinal_growth|11.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,no_inhibition_at_tested_dose
F012,howard1988terpenoids,Nerolidol,pure_compound,4,Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.14,mg/mL,140.0,remaining_growth,=,0,percent,0,100,4+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C005,Nerolidol,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C005,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",140.0,howard1988terpenoids|agar_contact|ordinal_growth|140.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
F013,howard1988terpenoids,Nerolidol,pure_compound,4,Vismea baccifera [as printed; Vismia linkage],"Leaves; previously reported origin, assay-batch provenance unresolved",0.014,mg/mL,14.0,remaining_growth,=,50,percent,50,50,2+,,,Atta cephalotes,Mutualistic attine fungus; pure-culture identity confirmed by ant acceptance.,Table 1 endpoint is day 7; growth was also followed through day 28.,Ordinal dose-conditioned response; group both doses and all plant links within the same material/study,Plant origins from PDF 3; do not expand one assay into independent rows for each plant. No growth at one dose is not a measured MIC.,Mapped percentages retain ordinal measurement resolution. Table concentrations take precedence over approximate method concentrations. Historical plant origins do not establish batch origin or garden exposure. Possible culture-lineage overlap with 1983 study is unverified.,PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf,howard1988terpenoids,,,,,,1,C005,Nerolidol,stereochemistry_or_identity_review,hubbell_howard_possible_lineage_overlap,hubbell_howard_possible_lineage_overlap|C005,agar_contact,ordinal_growth,"Potato dextrose agar; ether stock dispersed in agar, heated at 50°C for2 h and left 2 days for solvent evaporation.",Ether-treated agar and agar-only controls; triplicate fungal cultures.,"One laboratory colony originating in Santa Rosa, Costa Rica, 1982; no molecular strain identification.",14.0,howard1988terpenoids|agar_contact|ordinal_growth|14.0|Table 1 endpoint is day 7; growth was also followed through day 28.,False,Insufficient independent comparable compounds in each endpoint/exposure block; see feasibility report. No pooling across endpoint types.,False,inhibition_at_tested_dose
