response_group,compound_id,preferred_name,source_id,material_type,identity_status,route,endpoint_family,observation_time,record_count,distinct_doses,original_observations,source_locator,source_url,local_pdf,dose_basis,margin_percentage_points,threshold_percent,lower_exclusive_ug_ml,upper_inclusive_ug_ml,interval_status,scenario_interval,supporting_below_records,supporting_above_records,threshold_indeterminate_records,monotonicity_conflicts
howard1988terpenoids|C002|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C002,Caryophyllene,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F006"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 50}, {""record_id"": ""F007"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,14.0,140.0,two_sided,14 < C50 ≤ 140,"[""F007""]","[""F006""]",[],[]
howard1988terpenoids|C002|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C002,Caryophyllene,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F006"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 50}, {""record_id"": ""F007"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,14.0,,lower_only,"C50 > 14, or never reaches 50%","[""F007""]",[],"[""F006""]",[]
howard1988terpenoids|C002|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C002,Caryophyllene,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F006"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 50}, {""record_id"": ""F007"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,14.0,,lower_only,"C50 > 14, or never reaches 50%","[""F007""]",[],"[""F006""]",[]
howard1988terpenoids|C003|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C003,Caryophyllene oxide,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F008"", ""dose_ug_ml"": 100.0, ""reported_inhibition"": 100}, {""record_id"": ""F009"", ""dose_ug_ml"": 10.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,10.0,100.0,two_sided,10 < C50 ≤ 100,"[""F009""]","[""F008""]",[],[]
howard1988terpenoids|C003|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C003,Caryophyllene oxide,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F008"", ""dose_ug_ml"": 100.0, ""reported_inhibition"": 100}, {""record_id"": ""F009"", ""dose_ug_ml"": 10.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,10.0,100.0,two_sided,10 < C50 ≤ 100,"[""F009""]","[""F008""]",[],[]
howard1988terpenoids|C003|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C003,Caryophyllene oxide,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F008"", ""dose_ug_ml"": 100.0, ""reported_inhibition"": 100}, {""record_id"": ""F009"", ""dose_ug_ml"": 10.0, ""reported_inhibition"": 25}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,10.0,100.0,two_sided,10 < C50 ≤ 100,"[""F009""]","[""F008""]",[],[]
howard1988terpenoids|C004|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C004,Kolavenol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F010"", ""dose_ug_ml"": 110.0, ""reported_inhibition"": 0}, {""record_id"": ""F011"", ""dose_ug_ml"": 11.0, ""reported_inhibition"": 0}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,110.0,,lower_only,"C50 > 110, or never reaches 50%","[""F010"", ""F011""]",[],[],[]
howard1988terpenoids|C004|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C004,Kolavenol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F010"", ""dose_ug_ml"": 110.0, ""reported_inhibition"": 0}, {""record_id"": ""F011"", ""dose_ug_ml"": 11.0, ""reported_inhibition"": 0}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,110.0,,lower_only,"C50 > 110, or never reaches 50%","[""F010"", ""F011""]",[],[],[]
howard1988terpenoids|C004|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C004,Kolavenol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F010"", ""dose_ug_ml"": 110.0, ""reported_inhibition"": 0}, {""record_id"": ""F011"", ""dose_ug_ml"": 11.0, ""reported_inhibition"": 0}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,110.0,,lower_only,"C50 > 110, or never reaches 50%","[""F010"", ""F011""]",[],[],[]
howard1988terpenoids|C005|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C005,Nerolidol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F012"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 100}, {""record_id"": ""F013"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 50}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,,14.0,upper_only,0 < C50 ≤ 14,[],"[""F012"", ""F013""]",[],[]
howard1988terpenoids|C005|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C005,Nerolidol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F012"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 100}, {""record_id"": ""F013"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 50}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,,140.0,upper_only,0 < C50 ≤ 140,[],"[""F012""]","[""F013""]",[]
howard1988terpenoids|C005|agar_contact|ordinal_growth|Table 1 endpoint is day 7; growth was also followed through day 28.,C005,Nerolidol,howard1988terpenoids,pure_compound,stereochemistry_or_identity_review,agar_contact,ordinal_growth,Table 1 endpoint is day 7; growth was also followed through day 28.,2,2,"[{""record_id"": ""F012"", ""dose_ug_ml"": 140.0, ""reported_inhibition"": 100}, {""record_id"": ""F013"", ""dose_ug_ml"": 14.0, ""reported_inhibition"": 50}]",PDF 7 / printed 65; Table 1,https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,,140.0,upper_only,0 < C50 ≤ 140,[],"[""F012""]","[""F013""]",[]
pagnocca1996|C006|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C006,Sesamin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F014"", ""dose_ug_ml"": 70, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,,70.0,upper_only,0 < C50 ≤ 70,[],"[""F014""]",[],[]
pagnocca1996|C006|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C006,Sesamin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F014"", ""dose_ug_ml"": 70, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,,70.0,upper_only,0 < C50 ≤ 70,[],"[""F014""]",[],[]
pagnocca1996|C006|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C006,Sesamin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F014"", ""dose_ug_ml"": 70, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,,70.0,upper_only,0 < C50 ≤ 70,[],"[""F014""]",[],[]
pagnocca1996|C007|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C007,Eudesmin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F015"", ""dose_ug_ml"": 160, ""reported_inhibition"": 40}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,160.0,,lower_only,"C50 > 160, or never reaches 50%","[""F015""]",[],[],[]
pagnocca1996|C007|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C007,Eudesmin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F015"", ""dose_ug_ml"": 160, ""reported_inhibition"": 40}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,,,unconstrained,No threshold bound from these observations,[],[],"[""F015""]",[]
pagnocca1996|C007|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C007,Eudesmin,pagnocca1996,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F015"", ""dose_ug_ml"": 160, ""reported_inhibition"": 40}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,,,unconstrained,No threshold bound from these observations,[],[],"[""F015""]",[]
pagnocca1996|C008|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C008,Episesamin,pagnocca1996,pure_compound,ambiguous_name_lookup,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F016"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F016""]",[],[],[]
pagnocca1996|C008|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C008,Episesamin,pagnocca1996,pure_compound,ambiguous_name_lookup,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F016"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F016""]",[],[],[]
pagnocca1996|C008|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C008,Episesamin,pagnocca1996,pure_compound,ambiguous_name_lookup,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F016"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F016""]",[],[],[]
pagnocca1996|C009|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C009,Philygenol,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F017"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F017""]",[],[],[]
pagnocca1996|C009|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C009,Philygenol,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F017"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F017""]",[],[],[]
pagnocca1996|C009|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C009,Philygenol,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F017"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F017""]",[],[],[]
pagnocca1996|C010|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C010,Lignan 5,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F018"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F018""]",[],[],[]
pagnocca1996|C010|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C010,Lignan 5,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F018"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F018""]",[],[],[]
pagnocca1996|C010|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C010,Lignan 5,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F018"", ""dose_ug_ml"": 200, ""reported_inhibition"": 20}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F018""]",[],[],[]
pagnocca1996|C011|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C011,Lignan 6,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F019"", ""dose_ug_ml"": 210, ""reported_inhibition"": 60}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,,210.0,upper_only,0 < C50 ≤ 210,[],"[""F019""]",[],[]
pagnocca1996|C011|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C011,Lignan 6,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F019"", ""dose_ug_ml"": 210, ""reported_inhibition"": 60}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,,210.0,upper_only,0 < C50 ≤ 210,[],"[""F019""]",[],[]
pagnocca1996|C011|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C011,Lignan 6,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F019"", ""dose_ug_ml"": 210, ""reported_inhibition"": 60}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,,,unconstrained,No threshold bound from these observations,[],[],"[""F019""]",[]
pagnocca1996|C012|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C012,Epigalgravin,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F020"", ""dose_ug_ml"": 200, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,,200.0,upper_only,0 < C50 ≤ 200,[],"[""F020""]",[],[]
pagnocca1996|C012|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C012,Epigalgravin,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F020"", ""dose_ug_ml"": 200, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,,200.0,upper_only,0 < C50 ≤ 200,[],"[""F020""]",[],[]
pagnocca1996|C012|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C012,Epigalgravin,pagnocca1996,pure_compound,database_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F020"", ""dose_ug_ml"": 200, ""reported_inhibition"": "">80""}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,,200.0,upper_only,0 < C50 ≤ 200,[],"[""F020""]",[],[]
pagnocca1996|C013|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C013,Lignan 8,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F021"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,0,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F021""]",[],[],[]
pagnocca1996|C013|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C013,Lignan 8,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F021"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,10,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F021""]",[],[],[]
pagnocca1996|C013|agar_contact|coarse_visual_growth|30–35 days at 25±1°C,C013,Lignan 8,pagnocca1996,pure_compound,source_code_unresolved,agar_contact,coarse_visual_growth,30–35 days at 25±1°C,1,1,"[{""record_id"": ""F021"", ""dose_ug_ml"": 200, ""reported_inhibition"": 0}]",PDF 4 / printed 1328; Table 1,https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf,Reported mass/volume dose; preserve source-specific preparation and protocol.,20,50,200.0,,lower_only,"C50 > 200, or never reaches 50%","[""F021""]",[],[],[]
lobo2020papaya|C015|Agar contact|radial_growth_inhibition|Five weeks,C015,Squalene,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F073"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 25.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,0,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F073""]",[],[],[]
lobo2020papaya|C015|Agar contact|radial_growth_inhibition|Five weeks,C015,Squalene,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F073"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 25.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,10,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F073""]",[],[],[]
lobo2020papaya|C015|Agar contact|radial_growth_inhibition|Five weeks,C015,Squalene,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F073"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 25.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,20,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F073""]",[],[],[]
lobo2020papaya|C016|Agar contact|radial_growth_inhibition|Five weeks,C016,Carpaine,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F074"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 27.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,0,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F074""]",[],[],[]
lobo2020papaya|C016|Agar contact|radial_growth_inhibition|Five weeks,C016,Carpaine,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F074"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 27.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,10,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F074""]",[],[],[]
lobo2020papaya|C016|Agar contact|radial_growth_inhibition|Five weeks,C016,Carpaine,lobo2020papaya,pure_compound,stereochemistry_or_identity_review,Agar contact,radial_growth_inhibition,Five weeks,1,1,"[{""record_id"": ""F074"", ""dose_ug_ml"": 500.0, ""reported_inhibition"": 27.67}]","PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3",https://doi.org/10.1080/09670874.2019.1610812,../../sources/lobo2020papaya.pdf,Compound mass per medium volume; mixture total-versus-component basis unresolved,20,50,500.0,,lower_only,"C50 > 500, or never reaches 50%","[""F074""]",[],[],[]
"souza2005|C018|agar_contact|coarse_visual_growth|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",C018,Germanicol,souza2005,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,"Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",1,1,"[{""record_id"": ""F078"", ""dose_ug_ml"": 100, ""reported_inhibition"": 0}]",PDF 3 / printed 789; Table 3,https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf,Reported assay concentration,0,50,100.0,,lower_only,"C50 > 100, or never reaches 50%","[""F078""]",[],[],[]
"souza2005|C018|agar_contact|coarse_visual_growth|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",C018,Germanicol,souza2005,pure_compound,stereochemistry_or_identity_review,agar_contact,coarse_visual_growth,"Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",1,1,"[{""record_id"": ""F078"", ""dose_ug_ml"": 100, ""reported_inhibition"": 0}]",PDF 3 / printed 789; Table 3,https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf,Reported assay concentration,10,50,100.0,,lower_only,"C50 > 100, or never reaches 50%","[""F078""]",[],[],[]
