source_id,margin_percentage_points,lower_threshold_compound,higher_or_unreached_threshold_compound,lower_compound_id,higher_compound_id,upper_of_lower,lower_of_higher,interpretation,source_url,local_pdf
howard1988terpenoids,0,Caryophyllene oxide,Kolavenol,C003,C004,100.0,110.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf
howard1988terpenoids,0,Nerolidol,Caryophyllene,C005,C002,14.0,14.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf
howard1988terpenoids,0,Nerolidol,Kolavenol,C005,C004,14.0,110.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf
pagnocca1996,0,Sesamin,Eudesmin,C006,C007,70.0,160.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Sesamin,Episesamin,C006,C008,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Sesamin,Philygenol,C006,C009,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Sesamin,Lignan 5,C006,C010,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Sesamin,Lignan 8,C006,C013,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Epigalgravin,Episesamin,C012,C008,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Epigalgravin,Philygenol,C012,C009,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Epigalgravin,Lignan 5,C012,C010,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,0,Epigalgravin,Lignan 8,C012,C013,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
