record_id,source_id,material,material_type,source_compound_or_fraction_code,source_plant,source_organ,dose_value,dose_unit_as_reported,dose_ug_ml,endpoint,endpoint_relation,endpoint_value,endpoint_unit,remaining_growth_percent,derived_inhibition_percent,original_ordinal_score,damaged_cultures,tested_cultures,ant,fungus_as_reported,observation_time,model_use,transcription_notes,limitations,source_locator,original_url,local_original,context_key,exposure_route,dose_basis,endpoint_ci_low,endpoint_ci_high,independence_group,extraction_batch
M001,coumarins2005,Angelicin,pure_compound,1,Citrus limonia,Roots,72,µg/mL,72,growth_inhibition,=,40,percent,,40,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Angelicin,compound_assessment
M002,coumarins2005,Suberosin,pure_compound,2,Citrus limonia,Roots,64,µg/mL,64,growth_inhibition,=,100,percent,,100,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Suberosin,compound_assessment
M003,coumarins2005,Xanthoxyletin,pure_compound,3,Citrus limonia,Roots,70,µg/mL,70,growth_inhibition,=,100,percent,,100,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Xanthoxyletin,compound_assessment
M004,coumarins2005,Clausarin,pure_compound,4,Citrus limonia,Roots,75,µg/mL,75,growth_inhibition,=,0,percent,,0,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Clausarin,compound_assessment
M005,coumarins2005,Isopimpinellin,pure_compound,5,Adiscanthus fusciflorus,Roots,80,µg/mL,80,growth_inhibition,=,100,percent,,100,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Isopimpinellin,compound_assessment
M006,coumarins2005,Umbelliferone,pure_compound,6,Picramnia teapensis,Bark,65,µg/mL,65,growth_inhibition,=,60,percent,,60,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Umbelliferone,compound_assessment
M007,coumarins2005,Xanthyletin,pure_compound,7,Pilocarpus riedelianus,Stems,25,µg/mL,25,growth_inhibition,=,100,percent,,100,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Xanthyletin,compound_assessment
M008,coumarins2005,"7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin",pure_compound,8,Pilocarpus riedelianus,Stems,75,µg/mL,75,growth_inhibition,=,80,percent,,80,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,"coumarins2005|7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin",compound_assessment
M009,coumarins2005,Piperonyl butoxide,reference_compound,PBO,Not applicable,Commercial reference,50,µg/mL,50,growth_inhibition,>=,80,percent,,>=80,,,,Atta sexdens rubropilosa,Leucoagaricus gongylophorus (syn. Rozites gongylophorus),30 days at 25±1°C,Within-study dose-conditioned response; no fitted potency implied,Additional original-table transcription for compound assessment; not part of original 149 rows. Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,Single concentration per isolated compound; no MIC or IC50 established. Godoy thesis may overlap; not imported again.,PDF 3 / printed 671; Table 1 and Figure 1,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,coumarins2005,agar_contact,Final concentration explicitly stated in methods,,,coumarins2005|Piperonyl butoxide,compound_assessment
M010,raulinoa2002,Skimmianine,pure_compound,1,Raulinoa echinata,Stems; also detected in leaves,50,µg/mL,50,growth_inhibition,=,60,percent,,60,,,,Atta sexdens,Leucoagaricus gongylophorus (Rozites gongylophora),Not restated; do not assume the exact duration of the cited protocol.,Within-study dose-conditioned response; no fitted potency implied,"Additional original-table transcription for compound assessment; not part of original 149 rows. Only numeric compound cells extracted. Dashes are unspecified, not zero; NT is not tested. Related thesis not counted again.","Only numeric compound cells extracted. Dashes are unspecified, not zero; NT is not tested. Related thesis not counted again.",PDF 3 / printed 68; Table 1,https://doi.org/10.1590/S0103-50532002000100010,sources/raulinoa2002.pdf,raulinoa2002,agar_contact,Table concentration; detailed assay referred to prior protocol,,,raulinoa2002|Skimmianine,compound_assessment
M011,raulinoa2002,Skimmianine,pure_compound,1,Raulinoa echinata,Stems; also detected in leaves,100,µg/mL,100,growth_inhibition,=,80,percent,,80,,,,Atta sexdens,Leucoagaricus gongylophorus (Rozites gongylophora),Not restated; do not assume the exact duration of the cited protocol.,Within-study dose-conditioned response; no fitted potency implied,"Additional original-table transcription for compound assessment; not part of original 149 rows. Only numeric compound cells extracted. Dashes are unspecified, not zero; NT is not tested. Related thesis not counted again.","Only numeric compound cells extracted. Dashes are unspecified, not zero; NT is not tested. Related thesis not counted again.",PDF 3 / printed 68; Table 1,https://doi.org/10.1590/S0103-50532002000100010,sources/raulinoa2002.pdf,raulinoa2002,agar_contact,Table concentration; detailed assay referred to prior protocol,,,raulinoa2002|Skimmianine,compound_assessment
