species,growth_form,status_colony_I_1993_94,evidence,original_source,original_url,local_provenance,candidate_status
Andira inermis,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Annona hayesii,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Astrocaryum standleyanum,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Celtis schippii,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Chrysophyllum panamense,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Cordia lasiocalyx,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Cupania sylvatica,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Dendropanax arboreus,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Desmopsis panamensis,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Drypetes standleyi,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Ficus citrifolia,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Guarea guidonia,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Licania platypus,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
