plant_as_reported,antiforaging_index,fungal_screen,antiforaging_dose,fungal_screen_dose,ant,fungus,source_id,original_url,locator,taxonomic_status
Aristolochia argentina,100,+++,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Flourensia oolepis,100,+,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Gaillardia megapotamica var. megapotamica,100,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lantana grisebachii var. grisebachii,100,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lithrea molleoides,100,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Cantinoa mutabilis,88.2,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Podranea ricasoliana,77,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Achyrocline satureioides,75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Aloysia citrodora,75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Dipsacus fullonum,75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Lippia turbinata,75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Monnina dictyocarpa,75,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Gomphrena pulchella,69,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Aloysia gratissima,66,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Acacia aroma,60,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Cotoneaster glaucophylla,60,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Jodina rhombifolia,60,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
Ruprechtia apetala,60,-,100 µg/cm²,500 µg/spot,Acromyrmex lundi,L. gongylophorus,napal2015,https://doi.org/10.1016/J.INDCROP.2015.07.001,"Table 1, printed pp.277–278 / PDF pp.3–4",Name transcribed from source; not resolved to current accepted name
