plant_as_reported	antiforaging_index	fungal_screen
Aristolochia argentina	100	+++
Flourensia oolepis	100	+
Gaillardia megapotamica var. megapotamica	100	-
Lantana grisebachii var. grisebachii	100	-
Lithrea molleoides	100	-
Cantinoa mutabilis	88.2	-
Podranea ricasoliana	77	-
Achyrocline satureioides	75	-
Aloysia citrodora	75	-
Dipsacus fullonum	75	-
Lippia turbinata	75	-
Monnina dictyocarpa	75	-
Gomphrena pulchella	69	-
Aloysia gratissima	66	-
Acacia aroma	60	-
Cotoneaster glaucophylla	60	-
Jodina rhombifolia	60	-
Ruprechtia apetala	60	-
Zexmenia buphtalmiflora	60	-
Pavonia aurigloba	55.5	-
Acalypha communis	50	-
Astragalus distinens	50	-
Baccharis artemisioides	50	-
Bidens pilosa	50	-
Solanum palinacanthum	50	-
Vernonanthura nudiflora	50	-
Baccharis sessiliflora	46.7	-
Verbesina encelioides	45	-
Acacia atramentaria	40	-
Melissa officinalis	40	-
Minthostachys verticillata	37.5	-
Ligaria cuneifolia	35	-
Ambrosia elatior	33.3	-
Anemia tomentosa	33.3	-
Angelphytum aspilioides	33.3	-
Baccharis salicifolia	33.3	-
Lepechinia floribunda	33.3	-
Solanum argentinum	33.3	-
Ophryosporus charrua	33	-
Lorentziantus viscidus	29	-
Grindelia pulchella	25	+
Cynoglossum amabile	25	-
Dolichandra cynanchoides	25	-
Sida rhombifolia	25	-
Senecio vira-vira	23	-
Amphilophium carolinae	16.7	-
Kageneckia lanceolata	16.7	-
Artemisia annua	14	-
Porlieria microphylla	6.7	-
Melinis repens	6.6	-
Baccharis flabellata	0	++
Dalea elegans var. elegans	0	++
Baccharis coridifolia	0	+
Baccharis linearifolia	0	+
Trichocline reptans	0	+
Argemone subfusiformis	0	-
Capparis atamisquea	0	-
Dysphania ambrosioides	0	-
Croton lachnostachyus	0	-
Eryngium horridum	0	-
Acanthostyles buniifolius	0	-
Chromolaena hookeriana	0	-
Marrubium vulgare	0	-
Microliabum candidum	0	-
Prosopis alba var. alba	0	-
Salvia cuspidata subsp. gilliesii	0	-
Senecio madagascariensis	0	-
Sphaeralcea cordobensis	0	-
Tagetes minuta	0	-
Viguiera tucumanensis	0	-
Dolichandra unguis-cati	-5.3	-
Flourensia campestris	-11	-
Mandevilla pentlandiana	-11	-
Thalictrum decipiens	-11	-
Achyrocline tomentosa	-20	+
Vernonia mollissima	-20	-
Zanthoxylum coco	-25	++
Solanum sisymbriifolium	-25	-
Thelesperma megapotanicum	-25	-
Elaphoglossum lorentzii	-33	-
Lepechinia meyenii	-33	-
Pyrostegia venusta	-41	-
Pterocaulon alopecuroides	-45	+++
Artemisia verlotiorum	-45	-
Araujia brachystephana	-50	-
Condalia microphylla	-50	-
Cortaderia rudiuscula	-75	-
Senna aphylla	-76	-
Jarava ichu	-100	-
