# exploratory, not prespecified; post hoc, outside the frozen analysis plan at commit 98b5e09199a5eef0c46be452793e953f5a2af31e
level,structure_id,inchikey,inchikey_first_block,members,labels,tested,distinct_organisms,distinct_genera,distinct_families,distinct_references,lotus_rows
structure,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA,HVYWMOMLDIMFJA-DPAQBDIFSA-N,unknown,false,542,378,250,323,5385
structure,RBNPOMFGQQGHHO-UHFFFAOYSA-N,RBNPOMFGQQGHHO-UHFFFAOYSA-N,RBNPOMFGQQGHHO,RBNPOMFGQQGHHO-UHFFFAOYSA-N,unknown,false,17,16,16,20,298
structure,FFEARJCKVFRZRR-UHFFFAOYSA-N,FFEARJCKVFRZRR-UHFFFAOYSA-N,FFEARJCKVFRZRR,FFEARJCKVFRZRR-UHFFFAOYSA-N,unknown,false,21,20,20,24,283
structure,ZDXPYRJPNDTMRX-VKHMYHEASA-N,ZDXPYRJPNDTMRX-VKHMYHEASA-N,ZDXPYRJPNDTMRX,ZDXPYRJPNDTMRX-VKHMYHEASA-N,unknown,false,42,34,31,39,485
structure,YGSDEFSMJLZEOE-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,YGSDEFSMJLZEOE,YGSDEFSMJLZEOE-UHFFFAOYSA-N,unknown,false,145,105,55,116,2209
structure,UNXHWFMMPAWVPI-QWWZWVQMSA-N,UNXHWFMMPAWVPI-QWWZWVQMSA-N,UNXHWFMMPAWVPI,UNXHWFMMPAWVPI-QWWZWVQMSA-N,unknown,false,12,12,9,14,180
structure,UNXHWFMMPAWVPI-ZXZARUISSA-N,UNXHWFMMPAWVPI-ZXZARUISSA-N,UNXHWFMMPAWVPI,UNXHWFMMPAWVPI-ZXZARUISSA-N,unknown,false,38,25,20,29,413
structure,KZSNJWFQEVHDMF-UHFFFAOYSA-N,KZSNJWFQEVHDMF-UHFFFAOYSA-N,KZSNJWFQEVHDMF,KZSNJWFQEVHDMF-UHFFFAOYSA-N,unknown,false,26,27,23,28,334
structure,ODHCTXKNWHHXJC-UHFFFAOYSA-N,ODHCTXKNWHHXJC-UHFFFAOYSA-N,ODHCTXKNWHHXJC,ODHCTXKNWHHXJC-UHFFFAOYSA-N,unknown,false,17,15,16,19,228
structure,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,KZJWDPNRJALLNS-VJSFXXLFSA-N,unknown,false,2773,1299,291,2493,31088
structure,DHMQDGOQFOQNFH-UHFFFAOYSA-N,DHMQDGOQFOQNFH-UHFFFAOYSA-N,DHMQDGOQFOQNFH,DHMQDGOQFOQNFH-UHFFFAOYSA-N,unknown,false,174,129,100,98,2116
structure,CDAISMWEOUEBRE-GPIVLXJGSA-N,CDAISMWEOUEBRE-GPIVLXJGSA-N,CDAISMWEOUEBRE,CDAISMWEOUEBRE-GPIVLXJGSA-N,unknown,false,45,31,32,38,457
